Nome,IA
Musso,82
Carnesecchi,10
Rossi F.,16
Sportiello,24
Demiral,76
Zappacosta,78
Palomino,10
Hateboer,80
Toloi,78
Maehle,65
Djimsiti,70
Scalvini,54
Okoli,67
Zortea,38
Ruggeri,34
Malinovskyi,86
Pasalic,90
Koopmeiners,82
Ederson D.S.,72
De Roon,65
Zapata D.,88
Muriel,82
Lookman,72
"Boga
nide","68
58"
Skorupski,75
Bardi,30
Molla,5
Cambialo,74
De Silvestri,69
Medel,60
Bonifazi,65
Lykogiannis,64
Soumaoro,69
Dijks,60
Kasius,55
Amey,40
Mbaye,62
Orsolini,75
Soriano,78
Dominguez,74
Schouten,73
Ferguson,68
Aebischer,69
Vignato,67
Kingsley,40
Arnautovic,85
Barrow Sansone,"78
68"
Radu I.,65
Sarr M.,30
Ghiglione,70
Vasquez,69
Bianchetti,64
Chiriches,67
Valeri,72
Lochoshvili,55
Ravanelli,60
Sernicola,60
Fiordaliso,58
Ndiaye,55
Milanese,68
Baez,68
Castagnetti,67
Escalante,72
Valzania,69
Dessers,74
Okereke,69
Zanimacchia,73
Buonaiuto,60
Tsadjout,71
Strizzalo,59
Ciofani D. Di Carmine,"66
64"
Vicario,72
Perisan,26
Parisi,70
Stojanovic,72
Luperto,64
De Winter,32
Cacace,56
Ebuehi,46
Ismajli,60
Tonelli,44
Bajrami,84
Henderson L.,60
Marin,75
Stulac,70
Bandinelli,74
Haas,58
Baldanzi,38
Destro,78
Lammers,75
Satriano Cambiaghi,"70
62"
Gollini,78
Cerofolini,5
Terracciano,55
Dado',78
Biraghi,79
Milenkovic,76
Igor,74
Martinez Quarta,70
Venuti,67
Terzic,40
N astasic,69
Bonaventura,75
lkone,79
Saponara,74
M andragora,75
Castrovilli,70
Sottil,75
Zurkowski,68
Amrabat,69
Duncan,73
Maleh,60
Benassi,40
Jovic,78
Gonzalez N.,80
Cabral,75
Kouame,69
Kokorin,O
Handanovic,92
Cord az,21
Onana,56
Dumfries,92
Gosens,82
Skriniar,88
Bastoni,78
Darmian,64
De Vrij,74
"Bellanova
D'Ambrosio","64
62"
D imarco,65
Zanotti,24
Barella,86
Calhanoglu,87
Mkhitaryan,74
Brozovic Asllani,"80
67"
Gagliardini,62
Casadei,28
Lukaku,92
Martinez L,89
Correa,72
Dzeko,78
Szczesny,90
Perin,50
Pinsoglio,18
Bremer,82
Bonucci,80
Danilo,74
Alex Sandro,68
De Sciglio,51
Gatti,32
Rugani,40
Chiesa,84
Pogba,78
Cuadrado,75
Kostic,81
Locatelli,82
M ckennie,60
Zakaria,78
Rabiot,62
Arthur,52
Fagioli,39
M i retti,32
Rovella,38
Vlahovic,94
Di Maria,80
Kean,68
Kaio Jorge,22
Soule',28
Luis Maximiano,79
Provedel,15
Adamonis,10
Romagnoli,74
Lazzari,80
"Casale
Acerbi","74
50"
Marusic,74
Hysaj,63
Patric,70
Gila,63
Rad u,56
Kamenov i c,10
M ilinkovic-Savic,92
Zaccagn i,84
Felipe Anderson,82
Luis Alberto,80
Marcos Antonio,76
Cataldi,68
Vecino,73
Basic,72
Romero L,60
Immobile,97
Pedro,77
Cancellieri,69
Moro,60
Falcone,66
Bleve,15
Brancolini,24
Cetin,46
Dermaku,60
Frabotta,64
Gendrey,62
Tuia,58
Baschirotto,46
Gallo,40
Strefezza,78
Hjulmand,60
Normann,65
Bistrovic,63
Askildsen,58
Blin,48
Gonzalez J.,48
Listkowski,55
Bjorkengren,44
Helgason,44
Samek,54
Di Francesco F.,69
Ceesay,74
Colombo,60
Banda,44
Rodriguez P,45
Voelkerling Persson,46
Maignan,97
Mirante,5
Tatarusanu,15
Hernandez T.,96
Tomori,90
Calabria,80
Kalulu,76
Florenzí,69
Kjaer,62
Ballo-Toure',44
Gabbia,42
De Ketelaere,86
Tonali,74
Diaz B.,68
Messias,68
Bennacer,66
Pobega,65
Saelemaekers,61
Adli,55
Krunic,45
Bakayoko,35
Rafael Leao,87
Giroud,80
Origi,70
Rebic,68
lbrahimovic,40
Lazetic,35
Cragno,79
Di Gregorio,15
Lamanna,5
Sorrentino A.,5
Mari',75
Carlos Augusto,76
Marlon,70
Ranocchia,72
Carboni,66
Birindelli,64
Caldirola,60
Donati,60
Marrone,55
Pereira P.,56
Sampirisi,45
Paletta,40
Antov,35
Bettella,35
Pessina,78
Sensi,71
Barberis,66
Valoti,69
Colpani,62
Machin,56
Molina S.,55
Ciurria,57
Mazzitelli,35
Ranocchia F.,60
D'Alessandro,57
Bondo,50
Scozzarella,40
Vignato S.,41
Caprarì,81
Petagna,78
Mota,68
Gytkjaer,55
Meret,83
Martella,15
Sirigu,45
Di Lorenzo,87
Rrahmani,80
Kim,71
Mario Rui,77
Juan Jesus,64
Olivera,64
Ostigard,57
Zanoli,57
Zielinski,79
Kvaratskhelia,77
Ruiz,79
Politano,71
Lobotka,64
Elmas,71
Zambo Anguissa,61
Demme,0
Gaetano,45
Zerbin,35
Osimhen,90
Lozano,70
Ounas,44
Rui Patricio,84
Boer,18
Svilar,40
Smalling,79
Spinazzola,82
Karsdorp,71
Mancini,67
I banez,58
Celik,60
Kumbulla,48
Vina,46
Calafiori,42
Pellegrini Lo.,91
Zaniolo,80
Wijnaldum,81
Cristante,70
EI Shaarawy,60
Matic,66
Zalewski,60
Diawara,24
Bove,34
Darboe,19
Volpato,38
Abraham,89
Dybala,84
Shomurodov Afena-Gyan,"62
43"
Sepe,69
Fiorillo,15
Micai,5
Bradaric,69
